Original Title,Company,Rate,Metascore,Minutes,Release
Iron Man,Marvel,7.9,79,126,2008
The Incredible Hulk,Marvel,6.7,61,112 ,2008
Iron Man 2,Marvel,7,57,124 ,2010
Thor,Marvel,7,57,115,2011
Captain America: The First Avenger,Marvel,6.9,66,124,2011
The Avengers,Marvel,8,69,143,2012
Iron Man Three,Marvel,7.2,62,130,2013
Thor: The Dark World,Marvel,6.9,54,112,2013
Captain America: The Winter Soldier,Marvel,7.7,70,136,2014
Guardians of the Galaxy,Marvel,8,76,121,2014
Avengers: Age of Ultron ,Marvel,7.3,66,141,2015
Ant-Man,Marvel,7.3,64,117,2015
Captain America: Civil War,Marvel,7.8,75,147,2016
Doctor Strange,Marvel,7.5,72,115,2016
Guardians of the Galaxy Vol. 2,Marvel,7.6,67,136,2017
Spider-Man: Homecoming,Marvel,7.4,73,133,2017
Thor:Ragnarok,Marvel,7.9,74,130,2017
Black Panther,Marvel,7.3,88,134,2018
Avengers: Infinity War,Marvel,8.5,68,149,2018
Ant-Man and the Wasp,Marvel,7.1,70,118,2018
Captain Marve,Marvel,6.9,64,123,2019
Avengers: Endgame,Marvel,8.5,78,181,2019
Spider-Man: Far from Home,Marvel,7.6,69,129,2019
Catwoman,DC,3.3,27,104,2004
Batman Begins,DC,8.2,70,140,2005
Superman Returns,DC,6,72,154,2006
The Dark Knight,DC,9,84,152,2008
Watchmen,DC,7.6,56,162,2009
Jonah Hex ,DC,4.7,33,81,2010
Green Lantern,DC,5.5,39,114,2011
The Dark Knight Rises,DC,8.4,78,164,2012
Man of Steel,DC,7.1,55,143,2013
Batman v Superman: Dawn of Justice,DC,6.5,44,151,2016
Suicide Squad ,DC,6,40,123,2016
Wonder Woman,DC,7.4,76,141,2017
Justice League,DC,6.4,45,120,2017
Aquaman,DC,7,55,143,2018
Shazam!,DC,7.1,71,132,2019
Joker,DC,8.7,59,122,2019
